restaurant_class,restaurant_name,restaurant_url,restaurant_reviews
77,L'Épicerie de Ginette - Bistrot à Tartines - Lyon 2,/Restaurant_Review-g187265-d790236-Reviews-L_Epicerie_de_Ginette_Bistrot_a_Tartines_Lyon_2-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.0 of 5 bubbles. 1,088 reviews"
78,Ti amo Maria,/Restaurant_Review-g187265-d3184505-Reviews-Ti_amo_Maria-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 238 reviews
79,L'Atelier des Augustins,/Restaurant_Review-g187265-d6496648-Reviews-L_Atelier_des_Augustins-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 815 reviews
80,Nosch,/Restaurant_Review-g187265-d14023209-Reviews-Nosch-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 215 reviews
81,Chez Antonin,/Restaurant_Review-g187265-d2507320-Reviews-Chez_Antonin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 515 reviews
82,Chez Chabert,/Restaurant_Review-g187265-d1330199-Reviews-Chez_Chabert-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 919 reviews
83,Court Bouillon,/Restaurant_Review-g187265-d17816279-Reviews-Court_Bouillon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 361 reviews
84,Mama Restaurant Lyon,/Restaurant_Review-g187265-d4059959-Reviews-Mama_Restaurant_Lyon-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.0 of 5 bubbles. 1,451 reviews"
85,Le Pique Assiette,/Restaurant_Review-g187265-d3250336-Reviews-Le_Pique_Assiette-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 828 reviews
86,Brasserie des Confluences,/Restaurant_Review-g187265-d7698838-Reviews-Brasserie_des_Confluences-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.0 of 5 bubbles. 698 reviews
87,L'Alexandrin,/Restaurant_Review-g187265-d718105-Reviews-L_Alexandrin-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 754 reviews
88,Bistrot Abel,/Restaurant_Review-g187265-d8854443-Reviews-Bistrot_Abel-Lyon_Rhone_Auvergne_Rhone_Alpes.html,4.5 of 5 bubbles. 708 reviews
89,La Mere Brazier,/Restaurant_Review-g187265-d718686-Reviews-La_Mere_Brazier-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"4.5 of 5 bubbles. 1,177 reviews"
90,Canopée,/Restaurant_Review-g187265-d25280072-Reviews-Canopee-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0 of 5 bubbles. 54 reviews
91,Contre-champ,/Restaurant_Review-g187265-d3340848-Reviews-Contre_champ-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
92,Le Comptoir des Marronniers,/Restaurant_Review-g187265-d1582459-Reviews-Le_Comptoir_des_Marronniers-Lyon_Rhone_Auvergne_Rhone_Alpes.html,
